"p1"	"upper"
EUPATORIUM JAPONICUM [WHO-DD]	PARTHENOCISSUS QUINQUEFOLIA
AMARANTHUS SPINOSUS [WHO-DD]	TILLANDSIA USNEOIDES
MATRICARIA CHAMOMILLA	CARTHAMUS LANATUS
ASPARAGUS JACQUEMONTII WHOLE	ANCHUSA OFFICINALIS
ACHILLEA SUBMELLIFOLIUM WHOLE	DIANTHUS CARTHUSIANORUM
CEPA PALLENS WHOLE	ROSA CANINA
COMMON PERSIMMON WHOLE	VERBASCUM SINUATUM
CEROPHORA INODORA WHOLE	ACACIA SALIGNA
SWEET BEDSTRAW WHOLE	SMILAX AURICULATA
PALIURUS SPINA-CHRISTI [WHO-DD]	ARENARIA LANUGINOSA
GREEN ARROW ARUM WHOLE	RICINUS COMMUNIS
ROSA CINEROSA WHOLE	YOHIMBE
WITHANIA SOMNIFERA	ARALIA SPINOSA
MEDICAGO NEUROCARPOS WHOLE	AZADIRACHTA INDICA
ANDROPOGON CURTISIANUS WHOLE	QUERCUS STELLATA
BOLDU CHILENSIS WHOLE	RUSCUS ACULEATUS
CORNI FRUCTRUS WHOLE	SALVIA MICROPHYLLA
PRUNUS PERSICA [WHO-DD]	MIRABILIS JALAPA
ARISTOLOCHIA RUGOSA LAM.	CENTAURIUM ERYTHRAEA
ULMUS RETICULATA WHOLE	BAUHINIA DIVARICATA
LADY'S BEDSTRAW [HOC]	PTELEA TRIFOLIATA
DIANTHUS CERETANICUS WHOLE	DRIMA MARITIMA
VACCINIUM LIPARUM WHOLE	LION'S-TOOTH
COMMON EASTERN FLEABANE WHOLE	PEUMUS BOLDUS
ULMARIA QUINQUELOBA WHOLE	CHIMAPHILA UMBELLATA
TEPHROSIA VIRGINIANA WHOLE	PAPAVER RHOEAS
RUDBECKIA SEROTINA WHOLE	LONICERA PERICLYMENUM
SCLAREA DECIDUA WHOLE	QUERCUS GAMBELII
OXYACANTHA AZAROLUS WHOLE	PINUS NIGRA
DIANTHUS GRAMINEUS WHOLE	PRUNUS ARMENIACA
ARUNDO AEGYPTIACA WHOLE	EPIMEDIUM GRANDIFLORUM
CLADOMERIS CONFLUENS WHOLE	CAPSELLA BURSA-PASTORIS
LEPIDIUM DRABA	DELONIX REGIA
ARCTIUM LEIOSPERMUM WHOLE	ARMILLARIA GALLICA
CYMBOPOGON SCHOENANTHUS SUBSP. PROXIMUS [WHO-DD]	LEPIDIUM DRABA
EQUISETUM CALDERI B. BOIVIN	MAGNOLIA GRANDIFLORA
CITRUS TAMURANA WHOLE	GLYCINE MAX
ALLIUM BERTOLONII WHOLE	CRATAEGUS LAEVIGATA
CHIONANTHUS VERNUS WHOLE	AESCULUS PAVIA
VITIS CYLINDRICA WHOLE	JUNIPERUS COMMUNIS
JUSSIAEA GOMEZII WHOLE	BIXA ORELLANA
CLARY WHOLE	COMMELINA DIFFUSA
CAPSELLA SALINULA WHOLE	ARTEMISIA HERBA-ALBA
ROSA FRIVALDSKYI WHOLE	ALOCASIA MACRORRHIZOS
PNEUMONANTHE VULGARIS WHOLE	HAMAMELIS VIRGINIANA
PERSICARIA SALICIFOLIA WHOLE	OPLOPANAX HORRIDUS
TYPHA ELONGATA WHOLE	GLADIOLUS DALENII
COMMIPHORA MUKUL WHOLE	ERUCA VESICARIA
SPIRAEA ULMARIA WHOLE	TILLANDSIA USNEOIDES
PRUNELLA VULGARIS L.	KRATOM
THELYPTERIS UNCA WHOLE	RHYNCHOSTYLIS RETUSA
PAWIA HIPPOCASTANUM WHOLE	CAULOPHYLLUM THALICTROIDES
PELTANDRA CANADENSIS WHOLE	GLAUCIUM FLAVUM
SOLANUM NIGRUM WHOLE	ENDOTROPIS ALNIFOLIA
SHAVEGRASS WHOLE	RANUNCULUS ACRIS
MIRABILIS JALAPA WHOLE	RED YEAST RICE
SISYMBRIUM NASTURTIUM-AQUATICUM WHOLE	THUJA PLICATA
ACHILLEA ERIDANIA WHOLE	AFRAMOMUM MELEGUETA
CASSIA OBTUSA WHOLE	FICUS SAUSSUREANA
THYMUS PRAECOX WHOLE	TRIBULUS TERRESTRIS
SERENOA REPENS	QUERCUS ALBA
GALLITRICHUM CLANDESTINUM WHOLE	SOLIDAGO CANADENSIS
ERUCA CAPPADOCICA WHOLE	FRANGULA CAROLINIANA
RUIZIA FRAGRANS WHOLE	MITCHELLA REPENS
ULMUS UZBEKISTANICA WHOLE	CORIANDRUM SATIVUM
SALVIA ROSMARINUS WHOLE	SENNA ALEXANDRINA
NUPHAR LUTEA WHOLE	PSEUDOTSUGA MENZIESII
MEDICAGO RETICULATA WHOLE	GUGGUL
TANSY [HOC]	CINNAMOMUM BURMANNI
BRASSICA VESICARIA WHOLE	AFROHYBANTHUS ENNEASPERMUS
GINKGO [HOC]	NICOTIANA GLAUCA
JUGLANS FILICIFOLIA WHOLE	ARTEMISIA ABSINTHIUM
SCROPHULARIA UMBROSA DUMORT.	LIQUIDAMBAR STYRACIFLUA
MAGNOLIA LACUNOSA WHOLE	ULMUS MINOR
JUSSIAEA ALTISSIMA WHOLE	LEPIDIUM VIRGINICUM
MIRABILIS AMBIGUA WHOLE	VERONICA CHAMAEDRYS
IONIDIUM HEXASPERMUM WHOLE	TILIA AMERICANA
MIRABILIS SUAVEOLENS WHOLE	CLINOPODIUM NEPETA
CENTAUREA DALMATICA WHOLE	ACHILLEA MILLEFOLIUM
MALAYAN GROUNDSEL WHOLE	CHIONANTHUS VIRGINICUS
VITIS PRAECOX WHOLE	PANAX GINSENG
MESOSPHAERUM SPICIGERUM WHOLE	SALIX BABYLONICA
SWERTIA PSEUDOCHINENSIS [WHO-DD]	OXALIS ACETOSELLA
WINGED BUCKWHEAT WHOLE	CAPSELLA BURSA-PASTORIS
RAPE WHOLE	GREWIA VILLOSA
FRAGRANT BEDSTRAW WHOLE	NERIUM OLEANDER
RUBUS EXEMPTUS WHOLE	RICINUS COMMUNIS
PEAR-THORN WHOLE	ASPARAGUS RACEMOSUS
AMOMUM VILLOSUM WHOLE	SALIX NIGRA
ARUNDO VERSICOLOR WHOLE	TYPHA DOMINGENSIS
ALOCASIA MARGINATA WHOLE	CHIONANTHUS VIRGINICUS
VACCINIUM RAMULOSUM WHOLE	EUGENIA BIFLORA
AMERICAN SYCAMORE WHOLE	OXALIS ACETOSELLA
GLADIOLUS BUETTNERI WHOLE	RUBUS FLAGELLARIS
CAPSELLA RUDERALIS WHOLE	COMMIPHORA MUKUL
TYPHA PENDULA WHOLE	SALVIA MILTIORRHIZA
BELOPERONE FULGIDA WHOLE	SOLANUM ANGUIVI
TRIBULUS TERRESTRIS [WHO-DD]	HIPPOPHAE SALICIFOLIA
CLITORIA VIRGINIANA WHOLE	STACHYS BULLATA
SABAL MINOR (JACQ.) PERS.	SASSAFRAS ALBIDUM
ANGELICA LEVISTICUM WHOLE	RUBUS TRIVIALIS
LAUREL CLOCK VINE WHOLE	VITIS ROTUNDIFOLIA
BRASSICA OLERACEA VAR. OLERACEA WHOLE	BERBERIS ARISTATA
GALIUM APARINE [HPUS]	ALECTRA SESSILIFLORA
CALAMINTHA FENZLII WHOLE	GYMNEMA LATIFOLIUM
AGELAEA MACROCARPA WHOLE	QUERCUS LOBATA
MAGNOLIA OFFICINALIS [WHO-DD]	MITRACARPUS HIRTUS
SISYMBRIUM ACRE WHOLE	PERSICARIA PUNCTATA
FLOATING PRIMROSE-WILLOW WHOLE	SOLIDAGO ODORA
HYBANTHUS NYASSENSIS WHOLE	TURMERIC
OMONOIA CALIFORNICA WHOLE	GYMNEMA SYLVESTRE
LIGUSTICUM FERULACEUM WHOLE	ACORUS CALAMUS
ALLIUM MACROSTEMON [WHO-DD]	ERYNGIUM FOETIDUM
ALCEA ROSEA	CAPSELLA BURSA-PASTORIS
POLYSTICTUS NIGRICANS WHOLE	KALANCHOE CRENATA
SPREADING DAYFLOWER WHOLE	CAPSELLA BURSA-PASTORIS
BIXA ODORATA WHOLE	SOLANUM ANGUIVI
RUBUS FLORICOMUS WHOLE	PERSICARIA MACULOSA
CASPAREA PORRECTA WHOLE	QUERCUS MACROCARPA
DRYOBALANOPS AROMATICA [WHO-DD]	ABIES ALBA
MIRACLE GRASS WHOLE	FOMITOPSIS PINICOLA
SWEET-FLAG WHOLE	DIGITALIS FERRUGINEA
POLYGONUM PERSICARIA WHOLE	STILLINGIA SYLVATICA
MONESES RETICULATA WHOLE	SALVIA PRATENSIS
LAJJALU WHOLE	BACOPA MONNIERI
ARUNDO BIFARIA WHOLE	ERUCA VESICARIA
COTTON CUDWEED WHOLE	FRAXINUS AMERICANA
POLYGONUM PUNCTATUM WHOLE	FICUS SAUSSUREANA
FLOATING WATERHYACINTH WHOLE	BORAGO OFFICINALIS
FLAXWEED WHOLE	EQUISETUM ARVENSE
ARMENIACA PERSICIFOLIA WHOLE	QUERCUS GAMBELII
MITESIA PUNCTATA WHOLE	CRATAEGUS LAEVIGATA
CONYZA NATANS WHOLE	FUMARIA OFFICINALIS
COMMON ASPARAGUS FERN WHOLE	PISTIA STRATIOTES
ERIGERON STRIGOSUS MUHL. EX WILLD.	ACHILLEA MILLEFOLIUM
ERYTHRAEA CENTAURIUM WHOLE	COLA NITIDA
ROSE MALLOW WHOLE	MORINDA CITRIFOLIA
LIGUSTICUM SIBIRICUM WHOLE	HYGROPHILA COSTATA
RUDBECKIA HIRTA [WHO-DD]	ARISTOTELIA CHILENSIS
BIXA ORLEANA WHOLE	NERIUM OLEANDER
SUMACUS COPALLINA WHOLE	SESELI LIBANOTIS
CHINKAPIN WHOLE	MITRACARPUS HIRTUS
GLADIOLUS FUSCOVIRIDIS WHOLE	CHRYSOJASMINUM FRUTICANS
MOTHERWORT [EMA HERBAL SUBSTANCE]	CAPSELLA BURSA-PASTORIS
ZI MO LI WHOLE	YUCCA FILAMENTOSA
NYMPHONA LUTEA WHOLE	GENTIANA LUTEA
PATA-DE-VACA WHOLE	SENNA
ESCHSCHOLZIA TENUISECTA WHOLE	CORDYCEPS
HORSE-HEAL WHOLE	APIUM GRAVEOLENS
LAURUS SUMATRENSIS WHOLE	ARTEMISIA HERBA-ALBA
SCHOENOPLECTUS TABERNAEMONTANI (C.C.GMEL.) PALLA	SANGUINARIA CANADENSIS
TEUCRIUM CHAMAEDRYS WHOLE	HAMAMELIS VIRGINIANA
TECOMA VENUSTA WHOLE	SIDA SPINOSA
DRABA RUDERALIS WHOLE	ACACIA DEALBATA
HYPERICUM CRISPUM WHOLE	AFROHYBANTHUS ENNEASPERMUS
TYPHA AEQUALIS WHOLE	LINARIA VULGARIS
SENNA ITALICA	ERUCA VESICARIA
NYMPHOZANTHUS SERICEUS WHOLE	JUNIPERUS OXYCEDRUS
CHINESE WISTERIA WHOLE	RUBUS FLAGELLARIS
DIPLOTAXIS ERUCOIDES WHOLE	NICOTIANA GLAUCA
LELAH WHOLE	HAMAMELIS VIRGINIANA
SONCHUS RUNCINATUS WHOLE	LACTUCA INDICA
JUNIPERUS BEDFORDIANA WHOLE	LENS CULINARIS
ANDROPOGON PREAMATURUS WHOLE	ANCHUSA OFFICINALIS
ASPARAGUS ZEYLANICUS WHOLE	PISTIA STRATIOTES
TRITICUM AESTIVUM	CURCUMA LONGA
FICUS LEUCOCARPA WHOLE	GUGGUL
TROPICAL SPIDERWORT WHOLE	GLADIOLUS DALENII
DONAX BIFARIUS WHOLE	AMORPHA FRUTICOSA
MARIANA LACTEA WHOLE	GERANIUM MACULATUM
EPINE-VINETTE WHOLE	EUTERPE OLERACEA
EUGENIA ALEXANDRI WHOLE	GANODERMA LUCIDUM
TREFOIL TICKCLOVER WHOLE	TRIFOLIUM PRATENSE
CAPPARIS SPINOSA L.	ERYTHRINA ABYSSINICA
PAPAVER SOMNIFERUM WHOLE	ARTEMISIA ANNUA
AMORPHA VERRUCOSA WHOLE	CYPERUS ROTUNDUS
BRASSICA CAMPESTRIS WHOLE	CALLICARPA AMERICANA
JUNIPERUS COMMUNIS [WHO-DD]	VERBASCUM THAPSUS
RHEUM ACUMINATUM WHOLE	PELTANDRA VIRGINICA
PINUS ROYLEANA WHOLE	CIRSIUM ERIOPHORUM
ROSA MACROACANTHA WHOLE	ROBINIA PSEUDOACACIA
ABIES NOBILIS WHOLE	GLYCYRRHIZA GLABRA
HIPPOCENTAUREA INAPERTA WHOLE	EPIMEDIUM GRANDIFLORUM
HYGROPHILA COSTATA WHOLE	RHYNCHOSTYLIS RETUSA
STEVIA	MIRABILIS JALAPA
SOJA ANGUSTIFOLIA WHOLE	PONTEDERIA CORDATA
GALLITRICHUM VIRGATUM WHOLE	JUGLANS REGIA
ARISTOLOCHIA FIMBRIATA	FRAXINUS AMERICANA
PSEUDOGNAPHALIUM OBTUSIFOLIUM	CLADIUM MARISCUS
MARRUBIUM GERMANICUM WHOLE	ESCHSCHOLZIA CALIFORNICA
HERB-OF-GRACE WHOLE	RAPHANUS RAPHANISTRUM
ALLIUM AMPELOPRASUM [WHO-DD]	BRASSICA RAPA
YAN SUI WHOLE	GALEGA OFFICINALIS
RICINUS MESSENIACUS WHOLE	DESMODIUM GLUTINOSUM
DRYOBALANOPS SUMATRENSIS WHOLE	REYNOUTRIA MULTIFLORA
ERYTHRINA ABYSSINICA WHOLE	NYMPHAEA ODORATA
BERBERIS VULGARIS L.	CAPSELLA BURSA-PASTORIS
CORYDALIS RACEMOSA WHOLE	JUGLANS REGIA
DIPTEROCARPUS DRYOBALANOPS WHOLE	TRAMETES VERSICOLOR
ATRACTYLODES MACROCEPHALA [WHO-DD]	LEPIDIUM MEYENII
VACCINIUM MUCRONATUM WHOLE	TUSSILAGO FARFARA
SCUTELLARIA LATERIFLORA [WHO-DD]	VICIA SATIVA
SALVIA BARRELIERI WHOLE	CAPSELLA BURSA-PASTORIS
SAND BLACKBERRY WHOLE	ESCHSCHOLZIA CALIFORNICA
MAERUA CRASSIFOLIA WHOLE	ASPARAGUS SETACEUS
MATRICARIA CHAMOMILLA WHOLE	ALECTRA SESSILIFLORA
SOJA ANGUSTIFOLIA WHOLE	MORELLA CERIFERA
GALLITRICHUM ANGLICUM WHOLE	ARTEMISIA ANNUA
ANDROPOGON VIRGINICUS	SOLANUM AMERICANUM
TECOMA EXIMIA WHOLE	ARUM ITALICUM
OLIVE [HOC]	GLYCYRRHIZA INFLATA
ALECTRA IBITYENSIS WHOLE	BRASSICA RAPA
GLADIOLUS LEPTOPHYLLUS WHOLE	CAPSELLA BURSA-PASTORIS
MAGNOLIA CATHAYANA WHOLE	URTICA DIOICA
MORUS PENSYLVANICA WHOLE	FERULA SINKIANGENSIS
CAPPARIS MURRAYI WHOLE	BERBERIS VULGARIS
BERBERIS SYLVESTRIS WHOLE	BRASSICA NIGRA
BUCHU (AGATHOSMA BETULINA) [HOC]	JATROPHA CURCAS
SALIX YUHKII WHOLE	DICHORISANDRA HEXANDRA
KILI'O'OPU WHOLE	CINNAMOMUM BURMANNI
SOLEA MONTANA WHOLE	RANUNCULUS ACRIS
RANUNCULUS SICULUS WHOLE	MACA
VERONICA HORTENSIS WHOLE	HYPERICUM PERFORATUM
ACHILLEA POLYPHYLLA WHOLE	VICIA SATIVA
WILD TURNIP WHOLE	HANDROANTHUS HEPTAPHYLLUS
ACACIA SALIGNA	SAMBUCUS EBULUS
CYCLAMEN SUBHASTATUM WHOLE	SESELI LIBANOTIS
LYCIUM BARBARUM WHOLE	LONICERA JAPONICA
YELLOW OX-EYE DAISY WHOLE	SOLANUM LINNAEANUM
CRATAEGUS PALMSTRUCHII WHOLE	ERIOBOTRYA JAPONICA
ILEX PARAGUARIENSIS WHOLE	PAPAVER RHOEAS
CHRYSEIS TENUIFOLIA WHOLE	ECHINACEA
AESCULUS VERSICOLOR WHOLE	ASCLEPIAS INCARNATA
BLACK CHOKECHERRY WHOLE	CLEMATIS VILLOSA
COMBRETUM SPLENDENS WHOLE	TOONA SINENSIS
TILIA AMERICANA L.	HYPERICUM HYPERICOIDES
COMMON POKEWEED WHOLE	CLUSIA FLAVA
ROMERO WHOLE	CAPSELLA BURSA-PASTORIS
EUROPEAN HONEYSUCKLE WHOLE	PSEUDOGNAPHALIUM STRAMINEUM
ANDROPOGON LITTORALIS WHOLE	PTERIDIUM AQUILINUM
CLAVARIA MILITARIS WHOLE	COLLINSIA PARVIFLORA
CNICUS BENEDICTUS L.	PINUS NIGRA
ANEMOPSIS CALIFORNICA WHOLE	SALVIA VERBENACA
INULA HELENIUM [WHO-DD]	CITRUS AURANTIUM
JUSSIAEA ACUMINATA WHOLE	CNIDOSCOLUS URENS
RUBUS LATENS WHOLE	SCHIZACHYRIUM SCOPARIUM
MITRACARPUS SENEGALENSIS WHOLE	RUBUS FLAGELLARIS
PINUS KESIYA VAR. KESIYA [WHO-DD]	SENNA OCCIDENTALIS
LACTUCA CAVALERIEI WHOLE	ERYTHRINA ABYSSINICA
CAPSELLA LATA WHOLE	ARUNDO DONAX
ESCHSCHOLZIA LEUCOSTICTA WHOLE	CHAMOMILE
SMILAX GLABRA [WHO-DD]	COMBRETUM MOLLE
VITEX PACHYPHYLLA WHOLE	MITRACARPUS HIRTUS
CASSIA CAROLINIANA WHOLE	OXYRIA DIGYNA
FICUS POLYMORPHA WHOLE	AMBROSIA ARTEMISIIFOLIA
CASTANEA PUMILA (L.) MILL.	RUBUS ALLEGHENIENSIS
EGYPTIAN SESBAN WHOLE	DRIMA MARITIMA
ACHILLEA ODORATA WHOLE	TRIGONELLA CORNICULATA
FRAXINUS MACROPHYLLA WHOLE	MORINDA CITRIFOLIA
BACTRIS MAJOR JACQ.	TANG-KUEI
HERCULE'S CLUB WHOLE	SESBANIA SESBAN
SALIX HOUSTONIANA WHOLE	CAPSELLA BURSA-PASTORIS
SILENE SAPONARIA WHOLE	ELEUTHEROCOCCUS SENTICOSUS
SENNA ITALICA [WHO-DD]	SENNA ALEXANDRINA
GALIUM CHAROIDES WHOLE	FOENICULUM VULGARE
CAPSELLA GOTHICA WHOLE	SPARTIUM JUNCEUM
DIOSPYROS DISTYLA WHOLE	VACCINIUM PALLIDUM
PODALYRIA ALBA WHOLE	LINARIA VULGARIS
DOLICHOS SOJA WHOLE	ALOCASIA MACRORRHIZOS
SOLIDAGO HIRSUTISSIMA WHOLE	CINNAMOMUM BURMANNI
ACTAEA RACEMOSA	RUBUS TRIVIALIS
WARBURGIA UGANDENSIS WHOLE	TURNERA DIFFUSA
ISCHNODERMA HELVEOLUM WHOLE	CASTILLEJA MINIATA
ATRACTYLIS CHINENSIS WHOLE	SASSAFRAS ALBIDUM
RUBUS LONGIPES WHOLE	REYNOUTRIA MULTIFLORA
ERODIUM MALACOIDES	SISYMBRIUM OFFICINALE
SILER DIVARICATUM WHOLE	RHYNCHOSTYLIS RETUSA
CRATAEGUS SONGARICA WHOLE	PASSIFLORA EDULIS
MORUS ZANTHOXYLON WHOLE	SOLANUM LINNAEANUM
UNA-DE-GATO WHOLE	MAGNOLIA VIRGINIANA
PRUNUS PERSICA	RHEUM AUSTRALE
PAPAVER HORTENSE WHOLE	VACCINIUM PALLIDUM
ULMUS SUBEROSA WHOLE	SCOLYMUS HISPANICUS
CASSIA LANCEOLATA WHOLE	MITRACARPUS HIRTUS
EUGENIA DYSANTHA WHOLE	MITRACARPUS HIRTUS
SONCHUS OLERACEUS WHOLE	TILLANDSIA USNEOIDES
SACCOLABIUM RHEEDEI WHOLE	NEPETA CATARIA
RIVINA PURPURASCENS WHOLE	NYMPHAEA ODORATA
SIDA ANGUSTIFOLIA WHOLE	MYRTUS COMMUNIS
OXYACANTHA APIIFOLIA WHOLE	RICINUS COMMUNIS
ST. ANDREW'S CROSS WHOLE	ZANTHOXYLUM ARMATUM
EUGENIA MACARENSIS WHOLE	DIPLOTAXIS TENUIFOLIA
GARDENIA MEDICINALIS WHOLE	CAPSELLA BURSA-PASTORIS
OXALIS AMERICANA WHOLE	CAPSELLA BURSA-PASTORIS
LIGUSTICUM LEVISTICUM WHOLE	SAPONARIA OFFICINALIS
CADELIUM VIRIDE WHOLE	COMBRETUM MOLLE
ACACIA DEALBATA WHOLE	SERENOA REPENS
GIRALDIA STAPFII WHOLE	CENTAURIUM ERYTHRAEA
NAUCLEA SURINAMENSIS WHOLE	RANUNCULUS ACRIS
SAMBUCUS EBULUS [WHO-DD]	TRAMETES VERSICOLOR
PSYCHOTRIA CHRYSORHIZA WHOLE	SCUTELLARIA LATERIFLORA
ESCHSCHOLZIA MARITIMA WHOLE	SMILAX GLABRA
PLANTAGO ARISTATA MICHX.	SAMBUCUS EBULUS
PELTANDRA CANADENSIS WHOLE	CITRUS AURANTIUM
EQUISETUM ARVENSE	MENTHA PULEGIUM
LIBANOTIS MAJOR WHOLE	CURCUMA LONGA
ILLECEBRUM ITALICUM WHOLE	IRIS VIRGINICA
BAUHINIA CONFUSA WHOLE	ORIGANUM SYRIACUM
RHEUM POTANINII WHOLE	INULA HELENIUM
COMMON OREGANO	CAPSELLA BURSA-PASTORIS
FIELD SCABIOSA WHOLE	PINUS ECHINATA
BALLOTA NIGRA [WHO-DD]	ANEMOPSIS CALIFORNICA
CANDELILLA WHOLE	TOONA SINENSIS
NEUROLAENA INTEGRIFOLIA WHOLE	CODONOPSIS PILOSULA
WALL GERMANDER WHOLE	TANG-KUEI
FICUS ALBESCENS WHOLE	EUPATORIUM JAPONICUM
ALLIUM ASCENDENS WHOLE	ASTRAGALUS MONSPESSULANUS
SICILIAN BROAD-RIB BEET	SESBANIA SESBAN
KITCHEN SAGE WHOLE	MORINGA
SENNA ACUTIFOLIA WHOLE	ACER RUBRUM
QUERCUS NOBILIS WHOLE	TANACETUM VULGARE
SMILAX BEYRICHII WHOLE	ANDROPOGON VIRGINICUS
INDIAN SENNA WHOLE	SCHIZACHYRIUM SCOPARIUM
DANDELION WHOLE	COPTIS CHINENSIS
MEXICAN MINT WHOLE	CAPSELLA BURSA-PASTORIS
CHI GENG TENG WHOLE	MORINDA CITRIFOLIA
CROTON SPINOSUS WHOLE	RUTA CHALEPENSIS
ASCYRUM PLUMIERI WHOLE	LEPIDIUM DRABA
GYMNEMA KHANDALENSE WHOLE	MITCHELLA REPENS
ESCHSCHOLZIA APICULATA WHOLE	CYANTHILLIUM CINEREUM
MEDICAGO GRACILLIMA WHOLE	FUMARIA OFFICINALIS
LINARIA ELONGATA WHOLE	SALVIA OFFICINALIS
MAMMEA AMERICANA WHOLE	GALIUM APARINE
SOLANUM GANCHOUENENSE WHOLE	CORIANDRUM SATIVUM
CISTUS VULGARIS WHOLE	RUBUS TRIVIALIS
TILIA STENOPETALA WHOLE	STACHYS MEXICANA
SMILAX AURICULATA WHOLE	PSEUDOTSUGA MENZIESII
LINUM USITATISSIMUM	ESCHSCHOLZIA CALIFORNICA
MORUS DIOICA WHOLE	CYMBOPOGON SCHOENANTHUS
POGOSTEMON SUAVIS WHOLE	CAPSELLA BURSA-PASTORIS
MUGO PINE WHOLE	DAPHNE OLEOIDES
BERBERIS COCCINEA WHOLE	ACHILLEA NOBILIS
VITIS INSERTA WHOLE	CASTANEA SATIVA
PEUMUS FRAGRANS WHOLE	JUGLANS REGIA
MENTHA SPICATA	CINNAMON
TRUMPET VINE WHOLE	HYLOTELEPHIUM TELEPHIUM
POOR MAN'S GINSENG WHOLE	TYPHA LATIFOLIA
AMPHIDONAX BENGALENSIS WHOLE	JATROPHA CURCAS
CARYA COMPRESSA WHOLE	APIUM GRAVEOLENS
QUERCUS PSEUDOCERRIS WHOLE	CYANTHILLIUM CINEREUM
SOLANUM SCHULTESII WHOLE	COMBRETUM MOLLE
NASTURTIASTRUM VIRGINICUM WHOLE	GALIUM APARINE
LIQUIDAMBAR BARBATA WHOLE	EUPHORBIA OFFICINARUM
COLLOMIA LINEARIS WHOLE	SALIX BABYLONICA
BOLETUS FULVUS WHOLE	CANTINOA AMERICANA
RUBUS SAILORI WHOLE	EQUISETUM HYEMALE
DILATRIS CAROLINIANA WHOLE	APIUM GRAVEOLENS
ROSA CALENDARUM WHOLE	GLYCYRRHIZA INFLATA
YASHTIMADHU WHOLE	HYLOTELEPHIUM TELEPHIUM
SONCHUS ROSEUS WHOLE	ANTHYLLIS VULNERARIA
CORDIA DENTATA POIR.	PONTEDERIA CORDATA
PTERONIA TOMENTOSA WHOLE	JUNCUS TORREYI
BALMEDA CORYLIFOLIA WHOLE	LEPIDIUM VIRGINICUM
BOLETUS NITENS WHOLE	HYPERICUM HYPERICOIDES
GALIUM APARINE L.	ERYNGIUM FOETIDUM
TYPHA BROWNII WHOLE	PONTEDERIA CORDATA
ERYNGIUM FOETIDUM WHOLE	QUERCUS NIGRA
PRUNUS ARMENIACA	CORYDALIS BUNGEANA
PROTASPARAGUS JACQUEMONTII WHOLE	SALIX TRIANDRA
GLADIOLUS CORNEUS WHOLE	CAPSELLA BURSA-PASTORIS
ORCHIS PSYCODES WHOLE	TANACETUM VULGARE
ALLIUM ADSCENDENS WHOLE	SILENE LATIFOLIA
SOLANUM DEPILATUM WHOLE	CAPSELLA BURSA-PASTORIS
FICUS DAWEI WHOLE	ERUCA VESICARIA
CHIRONIA CENTAURIUM WHOLE	PHYTOLACCA AMERICANA
ASCLEPIAS PULCHELLA WHOLE	PEUMUS BOLDUS
CYCLAMEN AEDIRHIZUM WHOLE	ALCEA ROSEA
HYSSOP WHOLE	PERSICARIA MACULOSA
ABIES CHLOROCARPA WHOLE	SALVIA VERBENACA
MARRUBIUM APULUM WHOLE	PANAX GINSENG
PERIPLOCA SYLVESTRIS WHOLE	FOENICULUM VULGARE
TARAXACUM DENS-LEONIS WHOLE	ARISTOLOCHIA RUGOSA
UNGULINA MARGINATA WHOLE	PELTANDRA VIRGINICA
PEUCE RUBRA WHOLE	AESCULUS HIPPOCASTANUM
TRICHERA TIMEROYI WHOLE	CORNUS OFFICINALIS
SMOOTHLEAF ELM WHOLE	ILEX OPACA
MORUS RUBRA L.	STACHYS TENUIFOLIA
CIRSIUM INSUBRICUM WHOLE	FILIPENDULA ULMARIA
ANISOCALYX LIMNANTHIFLORUS WHOLE	CARTHAMUS LANATUS
SWAN RIVER WHALER SHARK WHOLE	SESELI LIBANOTIS
SALVIA SPIELMANNIANA WHOLE	SALIX NIGRA
DITRYSINIA LIGUSTRINA WHOLE	MORELLA CERIFERA
DIPSACUS DIVARICATUS WHOLE	GLAUCIUM FLAVUM
COMMON ONION WHOLE	ASCLEPIAS CURASSAVICA
CHINESE GOLDTHREAD WHOLE	PLATANTHERA PSYCODES
CARTHAMUS ALBUS WHOLE	CAPSELLA BURSA-PASTORIS
FAGUS FERRUGINEA WHOLE	BACOPA MONNIERI
PLATANUS EXCELSA WHOLE	MATRICARIA CHAMOMILLA
TRICHERA BOHEMICA WHOLE	ALOCASIA MACRORRHIZOS
CIPO CABELUNDO WHOLE	PINUS KESIYA
CYPERUS NUBICUS WHOLE	EQUISETUM ARVENSE
RANUNCULUS ACRIS	ATRIPLEX NUMMULARIA
ASTRAGALUS MONSPESSULANUS L.	FICUS CARICA
VERBASCUM SINUATUM WHOLE	EMILIA SONCHIFOLIA
AWL TREE WHOLE	SENNA
FERULA COMMUNIS [WHO-DD]	SOLANUM AMERICANUM
CASTILLEJA TWEEDYI WHOLE	DACTYLORHIZA INCARNATA
JUGLANS RUBRA WHOLE	MOMORDICA COCHINCHINENSIS
COMBRETUM GONDENSE WHOLE	CITRUS AURANTIUM
SAMBUCUS LACINIATA WHOLE	MAGNOLIA GRANDIFLORA
GNAPHALIUM POLYCEPHALUM WHOLE	ILEX CRENATA
BUNGE CORYDALIS WHOLE	ROSA CANINA
DYCTISPERMA RIGIDUS WHOLE	HARUNGANA MADAGASCARIENSIS
ARTEMISIA ARGENTEA WHOLE	FRAXINUS AMERICANA
ORCHIS FISTULATA WHOLE	SENNA ALEXANDRINA
